ChEMBLID,pValue,grappolo,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAromaticRings,FractionCSP3
CHEMBL1224167,4.5,hCatL,3.7837,23.06,262.048607068,5,0,2,2,0.142857142857143
CHEMBL1224170,5.47,hCatL,3.4755,23.06,222.111207324,11,0,2,0,1
CHEMBL1224171,4.98,hCatL,4.5439,23.06,250.142507452,13,0,2,0,1
CHEMBL231813,5.46,hCatL,2.4459,179.56,679.405732416002,14,4,8,1,0.722222222222222
CHEMBL218394,6.12,hCatL,1.7112,150.7,519.342069540001,10,4,5,0,0.814814814814815
CHEMBL1270269,5,hCatL,2.82018,104.69,391.161994920001,9,2,5,2,0.368421052631579
CHEMBL1269632,6.88,hCatL,2.7403,70.64,348.988445104,4,3,3,2,0
CHEMBL1272261,6.82,hCatL,2.96,76.71,390.999009788,5,2,4,2,0.0625
CHEMBL1272311,6.9,hCatL,3.5028,70.64,426.898957172,4,3,3,2,0
CHEMBL1271493,6.63,hCatL,3.5028,70.64,426.898957172,4,3,3,2,0
